signal_strategy,decision_date,execution_date,uptrend_count,uptrend_tickers,management_eligible_count,management_eligible_tickers,selected_ticker,selected_score
sma_cross_50_100,2017-11-30,2017-12-01,30,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CPFE3;CSNA3;CYRE3;EGIE3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SMTO3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,9,ENGI11;EQTL3;PSSA3;RADL3;RAIL3;RENT3;SANB11;VALE3;WEGE3,RADL3,0.5196798403591382
sma_cross_50_100,2017-12-29,2018-01-02,18,ABEV3;BPAC11;BRAP4;ENGI11;EQTL3;HYPE3;LREN3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SMTO3;TOTS3;USIM5;VALE3;WEGE3,15,ABEV3;BRAP4;ENGI11;EQTL3;HYPE3;LREN3;PETR4;RADL3;RAIL3;RENT3;SANB11;SMTO3;USIM5;VALE3;WEGE3,SMTO3,0.7366612066861126
sma_cross_50_100,2018-01-31,2018-02-01,23,ABEV3;BBSE3;BRAP4;CSMG3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;MGLU3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;USIM5;VALE3;WEGE3,20,ABEV3;BBSE3;BRAP4;CSMG3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;MGLU3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;USIM5;VALE3,PSSA3,0.8987950324396264
sma_cross_50_100,2018-02-28,2018-03-01,33,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CSMG3;CSNA3;CYRE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;SUZB3;UGPA3;USIM5;VALE3;WEGE3,21,ABEV3;BBAS3;BPAC11;BRAP4;CYRE3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;MGLU3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SUZB3;USIM5;VALE3,ENGI11,0.42442958412729087
sma_cross_50_100,2018-03-29,2018-04-02,35,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;SUZB3;UGPA3;USIM5;VALE3,15,ABEV3;B3SA3;CMIG4;CPFE3;CSMG3;ENGI11;EQTL3;HYPE3;ITSA4;KLBN11;MGLU3;PSSA3;RENT3;SANB11;SUZB3,KLBN11,0.7119346571599513
sma_cross_50_100,2018-04-30,2018-05-02,29,ABEV3;B3SA3;BBAS3;BBDC4;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;KLBN11;MGLU3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SUZB3;USIM5;VALE3,15,BRAP4;CMIG4;CSMG3;GGBR4;GOAU4;ITSA4;ITUB4;KLBN11;MGLU3;PETR4;RAIL3;SBSP3;SUZB3;USIM5;VALE3,SUZB3,0.7023624273731274
sma_cross_50_100,2018-05-30,2018-06-01,20,ABEV3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;EGIE3;ENGI11;GGBR4;GOAU4;KLBN11;MGLU3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SUZB3;VALE3,3,MGLU3;SUZB3;VALE3,VALE3,0.16441938586417001
sma_cross_50_100,2018-06-29,2018-07-02,5,KLBN11;MGLU3;RAIL3;SUZB3;VALE3,3,MGLU3;RAIL3;SUZB3,MGLU3,0.4299136352022531
sma_cross_50_100,2018-07-31,2018-08-01,5,MGLU3;RAIL3;SMTO3;SUZB3;VALE3,5,MGLU3;RAIL3;SMTO3;SUZB3;VALE3,VALE3,0.3772028196316026
sma_cross_50_100,2018-08-31,2018-09-03,9,CMIG4;MGLU3;PSSA3;RADL3;RAIL3;SMTO3;SUZB3;VALE3;WEGE3,5,PSSA3;RADL3;SUZB3;VALE3;WEGE3,PSSA3,0.4376340880709476
sma_cross_50_100,2018-09-28,2018-10-01,26,B3SA3;BBAS3;BBDC4;BPAC11;BRAP4;CMIG4;CPFE3;CSNA3;EGIE3;ENEV3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;PETR4;PSSA3;RADL3;RAIL3;SANB11;SMTO3;SUZB3;VALE3;WEGE3,10,BPAC11;BRAP4;CSNA3;GGBR4;PETR4;PSSA3;RAIL3;SANB11;VALE3;WEGE3,RAIL3,0.41902888785236125
sma_cross_50_100,2018-10-31,2018-11-01,36,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RAIL3;SANB11;SBSP3;SMTO3;SUZB3;USIM5;VALE3;WEGE3,23,B3SA3;BBAS3;BBDC4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;RAIL3;SANB11;SMTO3;USIM5,CPLE3,1.0666414982222396
sma_cross_50_100,2018-11-30,2018-12-03,32,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GOAU4;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;USIM5;VALE3;WEGE3,20,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MULT3;RAIL3;RENT3,ENGI11,0.7607045603626472
sma_cross_50_100,2018-12-28,2019-01-02,30,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;RAIL3;RENT3;SANB11;SBSP3;SMTO3;TOTS3;UGPA3;USIM5,24,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;ENEV3;ENGI11;EQTL3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;RAIL3;RENT3;SANB11;SBSP3;UGPA3,CPFE3,0.9199897879618135
sma_cross_50_100,2019-01-31,2019-02-01,29,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;RAIL3;RENT3;SANB11;SBSP3;TOTS3;UGPA3;USIM5,28,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;RAIL3;RENT3;SANB11;SBSP3;TOTS3;UGPA3,SBSP3,1.2077325763217333
sma_cross_50_100,2019-02-28,2019-03-01,33,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;WEGE3,12,B3SA3;BBAS3;BBDC4;BPAC11;CMIG4;CSMG3;CSNA3;CYRE3;ENEV3;PSSA3;RENT3;TOTS3,CSNA3,0.5085638759042853
sma_cross_50_100,2019-03-29,2019-04-01,35,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;WEGE3,7,BPAC11;CPLE3;CSNA3;EGIE3;PETR4;SBSP3;TOTS3,TOTS3,0.4751054929703835
sma_cross_50_100,2019-04-30,2019-05-02,28,ABEV3;B3SA3;BBAS3;BBDC4;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;LREN3;MGLU3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SBSP3;SUZB3;TOTS3;VALE3;WEGE3,20,B3SA3;BBAS3;BBDC4;BPAC11;CMIG4;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;LREN3;MGLU3;PSSA3;RADL3;RENT3;SBSP3;TOTS3;WEGE3,BPAC11,0.7377475322927162
sma_cross_50_100,2019-05-31,2019-06-03,18,B3SA3;BPAC11;BRAP4;CPLE3;CSMG3;CSNA3;EGIE3;ENEV3;ENGI11;LREN3;MGLU3;PETR4;RADL3;RENT3;SBSP3;SMTO3;TOTS3;VALE3,12,B3SA3;BPAC11;CPLE3;CSNA3;EGIE3;ENEV3;ENGI11;LREN3;MGLU3;RADL3;RENT3;SMTO3,CPLE3,0.7086788806691893
sma_cross_50_100,2019-06-28,2019-07-01,25,ABEV3;B3SA3;BBSE3;BPAC11;BRAP4;CMIG4;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;LREN3;MGLU3;MULT3;RADL3;RENT3;SBSP3;SMTO3;TOTS3;VALE3;WEGE3,23,ABEV3;B3SA3;BBSE3;BPAC11;BRAP4;CMIG4;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;LREN3;MGLU3;MULT3;RADL3;RENT3;SBSP3;SMTO3;TOTS3;VALE3;WEGE3,CYRE3,0.8804616033689953
sma_cross_50_100,2019-07-31,2019-08-01,32,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;TOTS3;VALE3;WEGE3,23,ABEV3;B3SA3;BBSE3;BPAC11;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;LREN3;MGLU3;MULT3;RADL3;RAIL3;RENT3;SBSP3;SMTO3;TOTS3;WEGE3,MGLU3,0.7036828381893325
sma_cross_50_100,2019-08-30,2019-09-02,29,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;TOTS3;WEGE3,16,B3SA3;BBSE3;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;ENEV3;EQTL3;HYPE3;LREN3;MGLU3;RADL3;RAIL3;RENT3;TOTS3,CPLE3,0.45941583504062117
sma_cross_50_100,2019-09-30,2019-10-01,25,ABEV3;B3SA3;BBSE3;BPAC11;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PSSA3;RADL3;RAIL3;RENT3;SBSP3;TOTS3;WEGE3,17,ABEV3;BBSE3;BPAC11;CPFE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;LREN3;MULT3;PSSA3;RADL3;RAIL3;TOTS3;WEGE3,ENEV3,0.7417212245377972
sma_cross_50_100,2019-10-31,2019-11-01,21,B3SA3;BBSE3;CPFE3;CPLE3;CYRE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;LREN3;MGLU3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SUZB3;TOTS3;WEGE3,15,B3SA3;CPFE3;CPLE3;CYRE3;ENEV3;EQTL3;HYPE3;ITSA4;LREN3;MGLU3;PETR4;RADL3;SANB11;TOTS3;WEGE3,RADL3,0.6337552207258188
sma_cross_50_100,2019-11-29,2019-12-02,27,B3SA3;BBSE3;BPAC11;BRAP4;CPFE3;CPLE3;CYRE3;ENEV3;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RAIL3;SANB11;SUZB3;TOTS3;UGPA3;VALE3;WEGE3,20,BPAC11;BRAP4;CPLE3;CYRE3;ENEV3;EQTL3;GGBR4;GOAU4;KLBN11;LREN3;MGLU3;MULT3;PSSA3;RADL3;RAIL3;SUZB3;TOTS3;UGPA3;VALE3;WEGE3,CPLE3,0.8730253441033772
sma_cross_50_100,2019-12-30,2020-01-02,34,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CPFE3;CPLE3;CYRE3;EGIE3;ENEV3;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RAIL3;SANB11;SBSP3;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,31,BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CPFE3;CPLE3;CYRE3;EGIE3;ENEV3;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RAIL3;SANB11;SBSP3;SMTO3;SUZB3;UGPA3;USIM5;VALE3;WEGE3,MULT3,0.9263500993479932
sma_cross_50_100,2020-01-31,2020-02-03,39,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SBSP3;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,23,B3SA3;CMIG4;CPFE3;CPLE3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;KLBN11;LREN3;MGLU3;MULT3;PSSA3;RADL3;RENT3;SBSP3;SMTO3;TOTS3;USIM5;WEGE3,CPLE3,0.5936463372795014
sma_cross_50_100,2020-02-28,2020-03-02,35,B3SA3;BBAS3;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SBSP3;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,6,B3SA3;CPLE3;EQTL3;HYPE3;SMTO3;WEGE3,WEGE3,0.08443065967060986
sma_cross_50_100,2020-03-31,2020-04-01,14,CMIG4;CPFE3;CPLE3;ENEV3;ENGI11;EQTL3;HYPE3;KLBN11;MGLU3;RADL3;RENT3;SMTO3;TOTS3;WEGE3,0,,,
sma_cross_50_100,2020-04-30,2020-05-04,1,WEGE3,1,WEGE3,WEGE3,0.1913432298894473
sma_cross_50_100,2020-05-29,2020-06-01,0,,0,,,
sma_cross_50_100,2020-06-30,2020-07-01,11,B3SA3;BPAC11;BRAP4;CSMG3;GOAU4;KLBN11;MGLU3;RAIL3;SUZB3;VALE3;WEGE3,8,B3SA3;BPAC11;BRAP4;GOAU4;KLBN11;MGLU3;VALE3;WEGE3,BPAC11,0.8695555080551002
sma_cross_50_100,2020-07-31,2020-08-03,40,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,23,B3SA3;BPAC11;BRAP4;CMIG4;CPLE3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;MGLU3;RADL3;RENT3;SBSP3;SUZB3;TOTS3;USIM5;VALE3;WEGE3,BRAP4,0.551279485188537
sma_cross_50_100,2020-08-31,2020-09-01,39,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,10,BRAP4;CSNA3;GGBR4;GOAU4;KLBN11;MGLU3;SMTO3;SUZB3;TOTS3;USIM5,KLBN11,0.859967513704123
sma_cross_50_100,2020-09-30,2020-10-01,33,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPLE3;CSNA3;CYRE3;EGIE3;ENEV3;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RENT3;SANB11;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,6,BRAP4;CSNA3;GGBR4;GOAU4;RADL3;RENT3,RADL3,0.2503618421782511
sma_cross_50_100,2020-10-30,2020-11-03,17,BRAP4;CSNA3;ENEV3;GGBR4;GOAU4;KLBN11;MGLU3;RADL3;RENT3;SANB11;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,12,BRAP4;CSNA3;ENEV3;GGBR4;GOAU4;MGLU3;RADL3;RENT3;SUZB3;USIM5;VALE3;WEGE3,CSNA3,0.9063984889256524
sma_cross_50_100,2020-11-30,2020-12-01,17,ABEV3;BRAP4;CSNA3;ENEV3;GGBR4;GOAU4;KLBN11;MGLU3;RADL3;RENT3;SANB11;SMTO3;SUZB3;TOTS3;USIM5;VALE3;WEGE3,10,BRAP4;CSNA3;ENEV3;KLBN11;RENT3;SANB11;SMTO3;SUZB3;USIM5;VALE3,VALE3,0.7576372454670584
sma_cross_50_100,2020-12-30,2021-01-04,31,ABEV3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;GGBR4;GOAU4;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;RADL3;RENT3;SANB11;SMTO3;SUZB3;UGPA3;USIM5;VALE3;WEGE3,27,ABEV3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSNA3;CYRE3;ENEV3;ENGI11;GGBR4;GOAU4;ITSA4;ITUB4;MGLU3;MULT3;PETR4;RENT3;SANB11;SMTO3;SUZB3;UGPA3;USIM5;VALE3,VALE3,0.6573411004756592
sma_cross_50_100,2021-01-29,2021-02-01,36,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;RADL3;RENT3;SANB11;SMTO3;SUZB3;UGPA3;USIM5;VALE3;WEGE3,9,BPAC11;ENEV3;ENGI11;KLBN11;MGLU3;SMTO3;SUZB3;VALE3;WEGE3,SMTO3,0.3617836928382874
sma_cross_50_100,2021-02-26,2021-03-01,37,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;MGLU3;MULT3;PETR4;RADL3;RAIL3;RENT3;SANB11;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,9,BPAC11;ENEV3;GGBR4;KLBN11;SMTO3;SUZB3;TOTS3;USIM5;VALE3,SUZB3,0.46983549423398163
sma_cross_50_100,2021-03-31,2021-04-01,18,ABEV3;BPAC11;BRAP4;CPFE3;CSNA3;ENEV3;EQTL3;GGBR4;GOAU4;HYPE3;KLBN11;RAIL3;SMTO3;SUZB3;TOTS3;USIM5;VALE3;WEGE3,7,ABEV3;BRAP4;CSNA3;EQTL3;GGBR4;GOAU4;USIM5,EQTL3,0.5271820282348761
sma_cross_50_100,2021-04-30,2021-05-03,13,BPAC11;BRAP4;CSNA3;ENEV3;EQTL3;GGBR4;GOAU4;KLBN11;SMTO3;SUZB3;TOTS3;USIM5;VALE3,10,BPAC11;BRAP4;CSNA3;EQTL3;GGBR4;GOAU4;SMTO3;TOTS3;USIM5;VALE3,USIM5,1.0010270593065798
sma_cross_50_100,2021-05-31,2021-06-01,22,ABEV3;BBDC4;BPAC11;BRAP4;CMIG4;CSMG3;CSNA3;EQTL3;GGBR4;GOAU4;HYPE3;LREN3;MULT3;PSSA3;RADL3;RAIL3;SBSP3;SMTO3;SUZB3;TOTS3;USIM5;VALE3,14,ABEV3;BBDC4;BPAC11;CMIG4;CSMG3;HYPE3;LREN3;MULT3;PSSA3;RADL3;RAIL3;SMTO3;TOTS3;VALE3,BBDC4,0.6502763925104924
sma_cross_50_100,2021-06-30,2021-07-01,27,ABEV3;BBAS3;BBDC4;BPAC11;BRAP4;CMIG4;CSMG3;CSNA3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;LREN3;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SMTO3;TOTS3;USIM5;VALE3,9,BRAP4;ITSA4;ITUB4;PETR4;PSSA3;RENT3;SMTO3;TOTS3;VALE3,TOTS3,0.46566056370298986
sma_cross_50_100,2021-07-30,2021-08-02,27,ABEV3;BBAS3;BBDC4;BPAC11;BRAP4;CMIG4;CSMG3;CSNA3;ENEV3;ENGI11;EQTL3;GOAU4;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SMTO3;TOTS3;VALE3,5,CSNA3;GOAU4;HYPE3;ITUB4;MULT3,CSNA3,0.09029290309482321
sma_cross_50_100,2021-08-31,2021-09-01,14,ABEV3;BPAC11;BRAP4;ENEV3;HYPE3;ITSA4;ITUB4;MGLU3;PETR4;PSSA3;SANB11;SMTO3;TOTS3;WEGE3,8,ABEV3;ITSA4;ITUB4;PETR4;PSSA3;SANB11;SMTO3;TOTS3,PSSA3,0.3754722912090307
sma_cross_50_100,2021-09-30,2021-10-01,6,CMIG4;CPLE3;EQTL3;PSSA3;TOTS3;WEGE3,4,CMIG4;CPLE3;EQTL3;WEGE3,CPLE3,0.37057937493985915
sma_cross_50_100,2021-10-29,2021-11-01,6,CMIG4;CPFE3;CPLE3;EQTL3;SBSP3;WEGE3,0,,,
sma_cross_50_100,2021-11-30,2021-12-01,8,BBSE3;CMIG4;CPLE3;EGIE3;PETR4;SBSP3;SMTO3;WEGE3,1,PETR4,PETR4,0.06474094291682708
sma_cross_50_100,2021-12-30,2022-01-03,8,ABEV3;BBAS3;BBSE3;CMIG4;EGIE3;PETR4;SBSP3;SMTO3,1,SBSP3,SBSP3,1.2554745263637002
sma_cross_50_100,2022-01-31,2022-02-01,11,BBAS3;EGIE3;ENGI11;GGBR4;KLBN11;PETR4;RENT3;SBSP3;SUZB3;USIM5;VALE3,5,BBAS3;EGIE3;PETR4;RENT3;SUZB3,BBAS3,0.9426265312670506
sma_cross_50_100,2022-02-25,2022-03-02,20,B3SA3;BBAS3;BBDC4;BRAP4;CPFE3;CPLE3;CSNA3;EGIE3;GGBR4;HYPE3;ITUB4;KLBN11;MULT3;PETR4;RENT3;SBSP3;SUZB3;UGPA3;USIM5;VALE3,10,B3SA3;BBAS3;BRAP4;CPFE3;CPLE3;HYPE3;MULT3;PETR4;SBSP3;VALE3,SBSP3,0.5678166662545179
sma_cross_50_100,2022-03-31,2022-04-01,30,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;MULT3;PETR4;RENT3;SANB11;SBSP3;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3,21,B3SA3;BBDC4;BBSE3;BPAC11;BRAP4;CPFE3;CPLE3;EGIE3;ENGI11;EQTL3;GGBR4;HYPE3;ITSA4;ITUB4;MULT3;RENT3;SANB11;SBSP3;SMTO3;TOTS3;VALE3,BBSE3,0.672183646792369
sma_cross_50_100,2022-04-29,2022-05-02,30,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;HYPE3;ITSA4;ITUB4;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;TOTS3;VALE3,6,BBSE3;CPFE3;ENGI11;MULT3;SBSP3;SMTO3,CPFE3,0.5559233593510088
sma_cross_50_100,2022-05-31,2022-06-01,30,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITUB4;LREN3;MULT3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;TOTS3,15,BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPLE3;EGIE3;ENEV3;GGBR4;GOAU4;HYPE3;ITUB4;RENT3;SBSP3;SMTO3,BBDC4,0.727796459908699
sma_cross_50_100,2022-06-30,2022-07-01,10,BBAS3;BBSE3;CMIG4;CPFE3;EGIE3;ENEV3;HYPE3;MULT3;SBSP3;SMTO3,0,,,
sma_cross_50_100,2022-07-29,2022-08-01,4,BBAS3;BBSE3;ENEV3;HYPE3,4,BBAS3;BBSE3;ENEV3;HYPE3,BBSE3,0.5649282701113253
